"Name";"DisplayName"
"UserDataSvc_147a6c";"User Data Access_147a6c"
"UserManager";"User Manager"
"UsoSvc";"Update Orchestrator Service for Windows Update"
"VGAuthService";"VMware Alias Manager and Ticket Service"
"VM3DService";"VMware SVGA Helper Service."
"VMTools";"VMware Tools"
"VMware Physical Disk Helper Service";"VMware Physical Disk Helper Service"
"VMwareCAFCommAmqpListener";"VMware CAF AMQP Communication Service"
"VMwareCAFManagementAgentHost";"VMware CAF Management Agent Service"
"VSS";"Volume Shadow Copy"
"VaultSvc";"Credential Manager"
"W3SVC";"World Wide Web Publishing Service"
"WAS";"Windows Process Activation Service"
"WEPHOSTSVC";"Windows Encryption Provider Host Service"
"WIDWriter";"Windows Internal Database VSS Writer"
"WMSVC";"Web Management Service"
"WPDBusEnum";"Portable Device Enumerator Service"
"WSearch";"Windows Search"
"WSusCertServer";"WSUS Certificate Server"
"WaaSMedicSvc";"Windows Update Medic Service"
"WalletService";"WalletService"
"WarpJITSvc";"Warp JIT Service"
"WbioSrvc";"Windows Biometric Service"
"Wcmsvc";"Windows Connection Manager"
"WdNisSvc";"Windows Defender Network Inspection Service"
"WdiServiceHost";"Diagnostic Service Host"
"WdiSystemHost";"Diagnostic System Host"
"Wecsvc";"Windows Event Collector"
"WerSvc";"Windows Error Reporting Service"
"WiaRpc";"Still Image Acquisition Events"
"WinDefend";"Windows Defender Service"
"WinHttpAutoProxySvc";"WinHTTP Web Proxy Auto-Discovery Service"
"Winmgmt";"Windows Management Instrumentation"
"WpnService";"Windows Push Notifications System Service"
"WpnUserService_147a6c";"Windows Push Notifications User Service_147a6c"
"WsusService";"WSUS Service"
"XblAuthManager";"Xbox Live Auth Manager"
"XblGameSave";"Xbox Live Game Save"
"aspnet_state";"ASP.NET State Service"
"bthserv";"Bluetooth Support Service"
"camsvc";"Capability Access Manager Service"
"dcsvc";"Declared Configuration(DC) service"
"defragsvc";"Optimize drives"
"diagnosticshub.standardcollector.service";"Microsoft (R) Diagnostics Hub Standard Collector Service"
"dmwappushservice";"dmwappushsvc"
"dot3svc";"Wired AutoConfig"
"ds_agent";"Trend Micro Deep Security Agent"
"ds_monitor";"Trend Micro Deep Security Monitor"
"ds_notifier";"Trend Micro Deep Security Notifier"
"edgeupdate";"Microsoft Edge-opdatering-tjeneste (edgeupdate)"
"edgeupdatem";"Microsoft Edge-opdatering-tjeneste (edgeupdatem)"
"embeddedmode";"Embedded Mode"
"fdPHost";"Function Discovery Provider Host"
"ftpsvc";"Microsoft FTP Service"
